field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,admission,,text,"Record ID",,,,,,,,,,,,,record_id
etu_number,admission,"Demographic details",text,"CTE number",,CTExxx,,,,,,,,,,,etu
etu_participant_id,admission,,text,"Participant ID",,x.yyyy,,,,,,,,,,,etu_participant_id
etu_participant_id_check,admission,,text,"Participant ID check",,x.yyyy,,,,,,,,,,,etu_participant_id_check
sex,admission,,radio,Gender,"1, Male|2, Female",,,,,,,,,,,,demo_group2-sex
dob_available,admission,,radio,"Date of birth available","1, Yes|0, No|99, Unknown",,,,,,,,,,,,demo_group2-dobavailable
dob,admission,,text,"Date of Birth",,,date_dmy,,,y,"[dob_available] = '1'",,,,,,dob
age,admission,,text,"Age at admission",,"in years or months or days",,,,,,,,,,,age
occupation,admission,,radio,"Patient occupation","1, Healthcare worker|2, Non-healthcare worker|99, Unknown",,,,,,,,,,,,demo_group3-occupation
occupation_details,admission,,text,"Occupation details",,,,,,,,,,,,,demo_group3-occupation_details
date_adm_hosp,admission,,text,"Date of admission to hospital",,,date_dmy,,,,,,,,,,initial_admission-admission_hospital
adm_transferred,admission,,radio,"Was the patient transferred from another facility?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,initial_admission-transferred
transferred_from,admission,,text,"If yes, name of facility",,,,,,,"[adm_transferred] = '1'",,,,,,transferred_from
obs_heart,admission,"Vital signs at admission",text,"Heart rate (bpm)",,,integer,,,,,,,,,,obs-heart
obs_systolic,admission,,text,"Systolic blood pressure (mmHg)",,,integer,,,,,,,,,,obs-systolic
obs_diastolic,admission,,text,"Diastolic blood pressure (mmHg)",,,integer,,,,,,,,,,obs-diastolic
obs_resp_rate,admission,,text,"Respiration rate (per min)",,,integer,,,,,,,,,,obs-resp_rate
obs_saturation,admission,,text,"Oxygen saturation (%)",,,integer,,,,,,,,,,obs-saturation
obs_temp,admission,,text,"Temperature (°C)",,,number_1dp,,,,,,,,,,obs-temperature
obs_avpu,admission,,text,"Mental status",,"A, V, P, U",,,,,,,,,,,obs-avpu_level
obs_muac,admission,,text,"Mid-upper arm circumference (MUAC) [mm]",,,integer,,,,,,,,,,obs2-muac
obs_weight,admission,,text,"Weight (kg)",,,number_1dp,,,,,,,,,,obs2-weight
obs_height,admission,,text,"Height (cm)",,,integer,,,,,,,,,,obs2-height
obs_cap_refill,admission,,radio,"Capillary refill >3 sec?","1, Refill less than 3s|2, Refill more than 3s|99, Unknown",,,,,,,,,,,,obs2-caprefil
admission_date_onset,admission,"Clinical details on admission",text,"Date of onset (first symptoms)",,,date_dmy,,,,,,,,,,admission_group-onset
admission_date_isolation,admission,,text,"Date of admission to isolation unit",,,date_dmy,,,,,,,,,,admission_group-admission_isolation
pregnant,admission,,radio,"Is the patient pregnant?","1, Yes|0, No|99, Unknown",,,,,,"[sex] = '2'",,,,,,pregnant
comorbid_notes,admission,"Comorbid conditions",text,"Notes on comorbidity",,,,,,,,,,,,,comorbid_notes
comorbid,admission,,radio,"Does the patient have any comorbid conditions?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,comorbid
comorbid_tb,admission,,radio,Tuberculosis,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity1,,overall_comorbid-comorbid_1-tb
comorbid_hepatitis,admission,,radio,Hepatitis,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity1,,overall_comorbid-comorbid_1-hepatitis
comorbid_diabetes,admission,,radio,Diabetes,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity1,,overall_comorbid-comorbid_1-diabetes
comorbid_hiv,admission,,radio,HIV,"1, Yes and on ART|2, Yes and not on ART|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,,,overall_comorbid-comorbid_1-hiv
comorbid_liver_disease,admission,,radio,"Chronic liver disease","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-liver_disease
comorbid_malignancy,admission,,radio,Malignancy/Chemotherapy,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-malignancy
comorbid_heart_failure,admission,,radio,"Chronic heart failure including congenital disease","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-heart_failure
comorbid_pulmo_disease,admission,,radio,"Chronic pulmonary disease ","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-pulmonary_disease
comorbid_ckd,admission,,radio,"Chronic kindey disease","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-ckd
comorbid_neurological,admission,,radio,"Chronic neurological condtion","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-neurological
comorbid_other,admission,,text,"Other, please specify",,,,,,,"[comorbid] = '1'",,,,,,overall_comorbid-comorbid_2-other_comorbid
symptoms_note,admission,"Symptoms on presentation",text,"Notes on symptoms",,,,,,,,,,,,,symptoms_note
symptoms_fever,admission,,radio,Fever,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-fever
symptoms_fatigue,admission,,radio,Fatigue,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-fatigue
symptoms_weakness,admission,,radio,Weakness,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-weakness
symptoms_malaise,admission,,radio,Malaise,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-malaise
symptoms_myalgia,admission,,radio,Myalgia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-myalgia
symptoms_anorexia,admission,,radio,Anorexia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-anorexia
symptoms_sore_throat,admission,,radio,"Sore Throat","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_2-sore_throat
symptoms_headache,admission,,radio,Headache,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_2-headache
symptoms_chest_pain,admission,,radio,"Chest Pain","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_2-chest_pain
symptoms_body_pain,admission,,radio,"Body Pain","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_2-body_pain
symptoms_hiccups,admission,,radio,Hiccups,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_2-hiccups
symptoms_cough,admission,,radio,Cough,"1, Yes and productive|2, Yes and not productive|0, No|99, Unknown",,,,,,,,,,,,symptoms_2-cough
symptoms_sob,admission,,radio,"Difficulty breathing","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-sob
symptoms_dysphagia,admission,,radio,"Difficulty swallowing","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-dysphagia
symptoms_abdo_pain,admission,,radio,"Abdominal pain","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-abdo_pain
symptoms_diarrhoea,admission,,radio,Diarrhoea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-diarrhoea
symptoms_nausea,admission,,radio,Nausea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-nausea
symptoms_vomiting,admission,,radio,Vomiting,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-vomiting
symptoms_irriability,admission,,radio,Irriability/Confusion,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_admisson,,symptoms_3-irriability
signs_note,admission,"Other signs on presentation",text,"Notes on signs",,,,,,,,,,,,,signs_note
signs_pharyngeal_eryth,admission,,radio,"Pharyngeal erythema","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-pharyngeal_erythema
signs_pharyngeal_exudate,admission,,radio,"Pharyngeal exudate","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-pharyngeal_exudate
signs_conjunct_inj,admission,,radio,"Conjunctival injection/bleeding","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-conjunctival_injections
signs_odema_face,admission,,radio,"Odema of face/neck","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-odema_face
signs_tender_abdo,admission,,radio,"Tender abdomen","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-tender_abdo
signs_sunken_eyes,admission,,radio,"Sunken eyes or fontanelle","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-sunken_eyes
signs_tenting_skinpinch,admission,,radio,"Tenting on skinpinch","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_1-tenting_skinpinch
signs_liver,admission,,radio,"Palpable liver","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-liver
signs_spleen,admission,,radio,"Palpable spleen","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-spleen
signs_rash,admission,,radio,Rash,"1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-rash
signs_jaundice,admission,,radio,Jaundice,"1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-jaundice
signs_lymph_nodes,admission,,radio,"Enlarged lymph nodes","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-lymph_nodes
signs_lower_odema,admission,,radio,"Lower extremity oedema","1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-lower_odema
signs_bleeding,admission,,radio,Bleeding,"1, Yes|0, No|99, Unknown",,,,,,,,,,signes_adm,,signs_2-bleeding
bleed_nose,admission,"Bleeding sites",radio,Nose,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_mouth,admission,,radio,Mouth,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_vagina,admission,,radio,Vagina,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_rectum,admission,,radio,Rectum,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_sputum,admission,,radio,Sputum,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_urine,admission,,radio,Urine,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_ivf,admission,,radio,"IVF sites","1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
bleed_other,admission,,radio,Other,"1, Yes|0, No|99, Unknown",,,,,,"[signs_bleeding] = '1'",,,,bleeding_sites,,
main_lab_notes,admission,,text,"Lab Notes",,,,,,,,,,,,,main_lab_notes
any_sample,admission,"Specimen collection and results",radio,"Specimen collection done for EVD patients?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,any_sample
samples_which_sample,admission,,radio,"What samples?","1, Blood|2, Urine|3, Buccal swab|88, Other",,,,,,"[any_sample] = '1'",,,,,,samples_taken-sample_type_group-which_sample
samples_sample_other,admission,,text,"If other, specify",,,,,,,"[samples_which_sample] = '88'",,,,,,samples_taken-sample_type_group-sample_other
samples_ebola_rdt,admission,"Ebola testing",radio,"Ebola RDT","1, Oraquick|98, Not done|88, Other",,,,,,,,,,,,samples_taken-ebola_rdt
samples_ebola_rdt_other,admission,,text,"Other test done, please specify",,,,,,,"[samples_ebola_rdt] = '88'",,,,,,samples_taken-ebola_rdt_other
samples_ebola_rdt_date,admission,,text,"Date of Ebola RDT",,,date_dmy,,,,"[samples_ebola_rdt] = '1'",,,,,,samples_taken-ebola_rdt_group-ebola_rdt_date
samples_ebola_rdt_result,admission,,radio,"Result of Ebola RDT","1, Positive|0, Negative|2, Indeterminate",,,,,,"[samples_ebola_rdt] = '1'",,,,,,samples_taken-ebola_rdt_group-ebola_rdt_result
samples_ebola_pcr,admission,,radio,"Ebola PCR","1, GeneXpert|98, Not done|88, Other",,,,,,,,,,,,samples_taken-ebola_pcr
samples_ebola_pcr_other,admission,,text,"Other PCR, please specify",,,,,,,"[samples_ebola_pcr] = '88'",,,,,,samples_taken-ebola_pcr_other
samples_pcr_xpert_date,admission,,text,"Date of GeneXpert PCR",,,date_dmy,,,,"[samples_ebola_pcr] = '1'",,,,,,samples_taken-xpert_pcr-xpert_date
samples_pcr_xpert_result,admission,,radio,"Result of GeneXpert PCR","1, Positive|0, Negative|2, Indeterminate",,,,,,"[samples_ebola_pcr] = '1'",,,,,,samples_taken-xpert_pcr-xpert_result
samples_xpert_gp_ct,admission,,text,"GP Ct value of GeneXpert",,,number_1dp,,,,"[samples_ebola_pcr] = '1'",,,,,,samples_taken-xpert_ct_values-xpert_gp_ct
samples_xpert_np_ct,admission,,text,"NP Ct value of GeneXpert",,,number_1dp,,,,"[samples_ebola_pcr] = '1'",,,,,,samples_taken-xpert_ct_values-xpert_np_ct
samples_other_pcr_date,admission,,text,"Other PCR date",,,date_dmy,,,,"[samples_ebola_rdt] = '88'",,,,,,samples_taken-other_pcr-other_pcr_date
samples_other_pcr_result,admission,,radio,"Other PCR result","1, Positive|0, Negative|2, Indeterminate",,,,,,"[samples_ebola_pcr] = '88'",,,,,,samples_taken-other_pcr-other_pcr_result
samples_other_pcr_ct,admission,,text,"Ct value of other PCR",,,number_1dp,,,,"[samples_ebola_pcr] = '88'",,,,,,samples_taken-other_pcr_ct
samples_malaria_rdt,admission,,radio,"Malaria RDT","1, Yes|0, No|99, Unknown",,,,,,,,,,,,samples_taken-malaria_rdt
samples_malaria_rdt_date,admission,,text,"Date of Malaria RDT",,,date_dmy,,,,"[samples_malaria_rdt] = '1'",,,,,,samples_taken-malaria_rdt_group-malaria_rdt_date
samples_malaria_rdt_res,admission,,radio,"Result of Malaria RDT","1, Positive|0, Negative|2, Indeterminate",,,,,,"[samples_malaria_rdt] = '1'",,,,,,samples_taken-malaria_rdt_group-malaria_rdt_result
samples_other_infection,admission,,radio,"Did the patient test positive to any other infection?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,samples_taken-other_infection_details
other_tests_note,admission,,text,"If yes, please specify.",,,,,,,"[samples_other_infection] = '1'",,,,,,other_tests_note
urinedip,admission,"Other clinical tests",radio,Urinedip,"1, Yes|0, No|99, Unknown",,,,,,,,,,,,urinedip
haemaglobinuria,admission,,radio,Haemaglobinuria,"1, Positive|0, Negative|98, Not done",,,,,,,,,,,,autre_tests-haemaglobinuria
proteinuria,admission,,radio,Proteinuria,"1, Positive|0, Negative|98, Not done",,,,,,,,,,,,autre_tests-proteinuria
haematuria,admission,,radio,Haematuria,"1, Positive|0, Negative|98, Not done",,,,,,,,,,,,autre_tests-haematuria
abg,admission,,radio,"Blood gas","1, Arterial|2, Venous|98, Not done",,,,,,,,,,,,abg
ph,admission,,text,pH,,,number_1dp,,,,"[abg] = '1' or [abg] = '2'",,,,,,ph
pco2,admission,,text,pCO2,,,integer,,,,"[abg] = '1' or [abg] = '2'",,,,,,pco2
pao2,admission,,text,PaO2,,,integer,,,,"[abg] = '1' or [abg] = '2'",,,,,,pao2
hco3,admission,,text,HCO3,,,integer,,,,"[abg] = '1' or [abg] = '2'",,,,,,hco3
abg_o2,admission,,text,"Oxygen therapy at time of blood gas (L/min)",,,integer,,,,,,,,,,abg_o2
biochem_today,admission,"Laboratory tests on admission or Hospital Day 1",radio,"Biochemistry done?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,biochem_today
labunit,admission,,radio,Labunit,"1, SI|2, US",,,,,,,,,,,,labunit
alt_result_si,admission,,text,"ALT/SGPT (U/L)",,,number,,,,"[labunit] = '1'",,,,,,biochem_SI-alt_result_SI
ast_result_si,admission,,text,"AST/SGO (U/L)",,,number,,,,"[labunit] = '1'",,,,,,biochem_SI-ast_result_SI
bilirubin_result_si,admission,,text,"Bilirubin (&micromol/L)",,,number_1dp,,,,"[labunit] = '1'",,,,,,biochem_SI-bilirubin_result_SI
creat_result_si,admission,,text,"Creatinine (&micromol/L)",,,number_1dp,,,,"[labunit] = '1'",,,,,,biochem_SI-creat_result_SI
potassium_result_si,admission,,text,"Potassium (mmol/L)",,,number_1dp,,,,"[labunit] = '1'",,,,,,biochem_SI-potassium_result_SI
urea_result_si,admission,,text,"Urea (mmol/L)",,,integer,,,,"[labunit] = '1'",,,,,,biochem_SI-urea_result_SI
ck_result_si,admission,,text,"Creatinine kinase (U/L)",,,integer,,,,"[labunit] = '1'",,,,,,biochem_SI-ck_result_SI
calcium_result_si,admission,,text,"Calcium (mmol/L)",,,number_1dp,,,,"[labunit] = '1'",,,,,,biochem_SI-calcium_result_SI
sodium_result_si,admission,,text,"Sodium (mmol/L)",,,integer,,,,"[labunit] = '1'",,,,,,biochem_SI-sodium_result_SI
glucose_result_si,admission,,text,"Glucose (mmol/L)",,,integer,,,,"[labunit] = '1'",,,,,,biochem_SI-glucose_result_SI
lactate_result_si,admission,,text,"Lactate (mmol/L)",,,integer,,,,"[labunit] = '1'",,,,,,biochem_SI-lactate_result_SI
alt_result_us,admission,,text,"ALT/SGPT (U/L) US",,,integer,,,,"[labunit] = '2'",,,,,,biochem_US-alt_result_US
ast_result_us,admission,,text,"AST/SGO (U/L) US",,,number,,,,"[labunit] = '2'",,,,,,biochem_US-ast_result_US
bilirubin_result_us,admission,,text,"Bilirubin (&micromol/L) US",,,number_1dp,,,,"[labunit] = '2'",,,,,,biochem_US-bilirubin_result_US
creat_result_us,admission,,text,"Creatinine ( &micromol/L) US",,,number_1dp,,,,"[labunit] = '2'",,,,,,biochem_US-creat_result_US
potassium_result_us,admission,,text,"Potassium (mmol/L) US",,,number_1dp,,,,"[labunit] = '2'",,,,,,biochem_US-potassium_result_US
urea_result_us,admission,,text,"Urea (mmol/L) US",,,integer,,,,"[labunit] = '2'",,,,,,biochem_US-urea_result_US
ck_result_us,admission,,text,"Creatinine kinase (U/L) US",,,integer,,,,"[labunit] = '2'",,,,,,biochem_US-ck_result_US
calcium_result_us,admission,,text,"Calcium (mmol/L) US",,,number_1dp,,,,"[labunit] = '2'",,,,,,biochem_US-calcium_result_US
sodium_result_us,admission,,text,"Sodium (mmol/L) US",,,integer,,,,"[labunit] = '2'",,,,,,biochem_US-sodium_result_US
glucose_result_us,admission,,text,"Glucose (mmol/L) US",,,integer,,,,"[labunit] = '2'",,,,,,biochem_US-glucose_result_US
lactate_result_us,admission,,text,"Lactate (mmol/L) US",,,integer,,,,"[labunit] = '2'",,,,,,biochem_US-lactate_result_US
cbc_today,admission,,radio,"CBC done today?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,cbc_today
cbc_hb_result,admission,,text,"Haemoglobin (g/L)",,,number_1dp,,,,"[cbc_today] = '1'",,,,,,cbc-hb_result
cbc_wbc_result,admission,,text,"WBC count (x10⁹/L)",,,number_1dp,,,,"[cbc_today] = '1'",,,,,,cbc-wcc_result
cbc_plts_result,admission,,text,"Platelets (x10⁹/L)",,,integer,,,,"[cbc_today] = '1'",,,,,,cbc-plts_result
clotting_today,admission,,radio,"Clotting panel done?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,clotting_today
clotting_pt_result,admission,,text,"PT Result",,,,,,,"[clotting_today] = '1'",,,,,,clotting-pt_result
clotting_aptt_result,admission,,text,"aPTT Result",,,,,,,"[clotting_today] = '1'",,,,,,clotting-aptt_result
complications,admission,Complications,radio,Complications,"1, Yes|0, No|99, Unknown",,,,,,,,,,,,complication
complic_bleeding,admission,,radio,Bleeding,"1, Yes|0, No|99, Unknown",,,,,,"[complications] = '1'",,,,,,complications_group-bleeding_complication
complic_shock,admission,,radio,Shock,"1, Yes|0, No|99, Unknown",,,,,,"[complications] = '1'",,,,,,complications_group-shock
complic_meningitis,admission,,radio,Meningitis,"1, Yes|0, No|99, Unknown","Menigitis defined either clinically or with lumbar puncture",,,,,"[complications] = '1'",,,,,,complications_group-meningitis
complic_confusion,admission,,radio,Confusion,"1, Yes|0, No|99, Unknown",,,,,,"[complications] = '1'",,,,,,complications_group-confusion
complic_convulsions,admission,,radio,Convulsions,"1, Yes|0, No|99, Unknown",,,,,,"[complications] = '1'",,,,,,complications_group-convulsions
complic_coma,admission,,radio,"Coma (P/U in AVPU scoring)","1, Yes|0, No|99, Unknown",,,,,,"[complications] = '1'",,,,,,complications_group-coma
complic_bacteraemia,admission,,radio,Bacteraemia,"1, Yes|0, No|99, Unknown",,,,,,"[complications] = '1'",,,,,,complications_group-bacteraemia
complic_other,admission,,text,"Other Complications",,,,,,,"[complications] = '1'",,,,,,complications_group-other_complication
main_treatments_note,admission,"Treatment information",text,"Treatment Note",,,,,,,,,,,,,main_treatments_note
treatments_antibiotic,admission,,radio,"Antibacterial treatment","1, Yes|0, No|99, Unknown",,,,,,,,,,,,possible_treatments-antibiotic
antibiotic_name_1,admission,,text,"Antibiotic 1",,,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_name
antibiotic_dose_1,admission,,text,"Dose of antibiotic 1",,,integer,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_dose
antibiotic_unit_1,admission,,radio,"Unit of antibiotic 1","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_dose_unit
antibiotic_oth_dose_1,admission,,text,"Other dose/unit of antibiotic 1",,,,,,,"[treatments_antibiotic] = '1'",,,,,,
antibiotic_route_1,admission,,radio,"Route of antibiotic 1","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_route
antibiotic_frequency_1,admission,,radio,"Frequency of antibiotic 1","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_frequency
antibiotic_oth_freq_1,admission,,text,"Other frequency of antibiotic 1",,,,,,,"[antibiotic_frequency_1] = '88'",,,,,,
antibiotic_name_2,admission,,text,"Antibiotic 2",,,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_other_name
antibiotic_dose_2,admission,,text,"Dose of antibiotic 2",,,integer,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_other_dose
antibiotic_unit_2,admission,,radio,"Unit of antibiotic 2","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_dose_unit
antibiotic_oth_dose_2,admission,,text,"Other dose/unit of antibiotic 2",,,,,,,"[treatments_antibiotic] = '1'",,,,,,
antibiotic_route_2,admission,,radio,"Route of antibiotic 2","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_route
antibiotic_frequency_2,admission,,radio,"Frequency of antibiotic 2","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_frequency_other
antibiotic_oth_freq_2,admission,,text,"Other frequency of antibiotic 2",,,,,,,"[antibiotic_frequency_2] = '88'",,,,,,
antibiotic_name_3,admission,,text,"Antibiotic 3",,,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_other_name
antibiotic_dose_3,admission,,text,"Dose of antibiotic 3",,,integer,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_other_dose
antibiotic_unit_3,admission,,radio,"Unit of antibiotic 3","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_dose_unit
antibiotic_oth_dose_3,admission,,text,"Other dose/unit of antibiotic 3",,,,,,,"[treatments_antibiotic] = '1'",,,,,,
antibiotic_route_3,admission,,radio,"Route of anitbiotic 3","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_route
antibiotic_frequency_3,admission,,radio,"Frequency of antibiotic 3","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_antibiotic] = '1'",,,,,,antibiotic_data-antibiotic_frequency_other
antibiotic_oth_freq_3,admission,,text,"Other frequency of antibiotic 3",,,,,,,"[antibiotic_frequency_3] = '88'",,,,,,
treatments_antimalarial,admission,,radio,"Antimalarial treatment","1, Yes|0, No|99, Unknown",,,,,,,,,,,,possible_treatments-antimalarial
treatments_other_rx,admission,,radio,"Other type of treatment","1, Yes|0, No|99, Unknown",,,,,,,,,,,,possible_treatments-other_rx
treatments_exper_rx,admission,,radio,"Ebola experimental treatment","1, Yes|0, No|99, Unknown",,,,,,,,,,,,possible_treatments-experimental_rx
antimalarial_treat_type,admission,,radio,"Type of antimalarial treatment","1, Artesunate|2, Arthemeter|3, Arthemeter/Lumefantrine|4, Artesunate/Amodiaquine",,,,,,"[treatments_antimalarial] = '1'",,,,,,antimalarial_data
other_rx_name_1,admission,,text,"Name of medication 1",,,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_name
other_rx_dose_1,admission,,text,"Dose of medication 1",,,number,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose
other_rx_unit_1,admission,,radio,"Unit of medication 1","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose_unit
other_rx_other_1,admission,,text,"Other dose/unit of medication 1",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_route_1,admission,,radio,"Route of medication 1","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_route
other_rx_frequency_1,admission,,radio,"Frequency of medication 1","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_frequency
other_rx_frequ_oth_1,admission,,text,"Other frequency of medication 1",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_name_2,admission,,text,"Name of medication 2",,,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_name
other_rx_dose_2,admission,,text,"Dose of medication 2",,,integer,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose
other_rx_unit_2,admission,,radio,"Unit of medication 2","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose_unit
other_rx_other_2,admission,,text,"Other dose/unit of medication 2",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_route_2,admission,,radio,"Route of medication 2","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_route
other_rx_frequency_2,admission,,radio,"Frequency of medication 2","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_frequency
other_rx_frequ_oth_2,admission,,text,"Other frequency of medication 2",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_name_3,admission,,text,"Name of medication 3",,,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_name
other_rx_dose_3,admission,,text,"Dose of medication 3",,,integer,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose
